Site,RnfDKraal,Rain7End,Slope,Fire,Wattle,Wattle_fire,Duration ,Cattle,CattleDays,Sstock,SStDays,LSU,LSUdays,INFIL.KC,DPM.K,DPM.C,DPM.KC,BIO.K,BIO.C,BIO.KC,Bare.K,Bare.C,Bare.KC,Grass.K,Grass.C,Grass.KC,Forbs.K,Forbs.C ,Forbs.KC,soilP.K,soilP.C,soilP.KC,SoilS.K,soilS.C,soilS.KC,SOM.K,SOM.C,SOM.KC
2,43,64,7.4,0,no wattle,NWNF,23,250,5750,286,6578,248.62,5718.26,0.434561248,8.3,6.54,1.76,3491.996851,2760.593757,731.4030941,7,10,-3,88,87,1,5,3,2,0.035,0.032,0.003,0.02,0.015,0.005,6.967,5.634,1.333
3,40,69,2.5,0,wattle,WNF,21,250,5250,286,6006,248.62,5221.02,0.055200114,10.77,2.57,8.2,4397.795265,604.0556165,3793.739648,0,34,-34,100,56,44,0,0,0,0.063,0.035,0.028,0.035,0.032,0.003,9.545,6.527,3.018
4,11,31,3.7,0,no wattle,NWNF,24,205,4920,162,3888,191.54,4596.96,0.015152486,3.74,4.52,-0.78,1351.631991,1785.825907,-434.1939164,17,5,12,80,99,-19,4,1,3,0.032,0.032,0,0.029,0.023,0.006,6.582,6.465,0.117
5,0,0,0.1,1,wattle,WF,15,207,3105,173,2595,195.01,2925.15,-0.595253558,2.46,8.82,-6.36,525.6714939,3692.857567,-3167.186073,33,3,30,83,97,-14,17,0,17,0.033,0.033,0,0.028,0.027,0.001,7.512,7.581,-0.069
6,0,0,0.1,1,wattle,WF,16,207,3312,173,2768,195.01,3120.16,-0.838912987,2.39,4.35,-1.96,474.8752124,1694.603717,-1219.728504,3,10,-7,83,90,-7,14,0,14,0.03,0.032,-0.002,0.025,0.022,0.003,6.702,7.557,-0.855
7,9,32,0.1,1,wattle,WF,19,185,3515,186,3534,179.62,3412.78,-0.35327182,2.73,7.71,-4.98,715.1328311,3256.316406,-2541.183575,8,5,3,76,94,-18,16,1,15,0.048,0.035,0.013,0.036,0.028,0.008,9.761,10.753,-0.992
8,2,2,0,0,no wattle,NWNF,13,182,2366,169,2197,174.33,2266.29,0.057664867,2.48,11.69,-9.21,540.0515591,4708.085091,-4168.033532,8,0,8,81,100,-19,11,0,11,0.04,0.036,0.004,0.036,0.027,0.009,15.136,15.388,-0.252
9,2,2,0,0,no wattle,NWNF,21,170,3570,189,3969,168.13,3530.73,0,2.43,8.02,-5.59,503.9913426,3381.230621,-2877.239278,7,0,7,93,100,-7,4,0,4,0.042,0.038,0.004,0.035,0.027,0.008,14.133,15.93,-1.797
11,18,26,5.5,0,wattle,WNF,15,150,2250,115,1725,139.55,2093.25,0.143660731,2.88,0,2.88,816.3471812,0,816.3471812,7,46,-39,93,37,56,0,17,-17,0.056,0.041,0.015,0.031,0.022,0.009,13.855,11.292,2.563
12,0,1,1,1,wattle,WF,14,123,1722,189,2646,130.53,1827.42,-0.734294978,2.03,7.27,-5.24,201.0043478,3074.623881,-2873.619533,20,7,13,80,78,2,0,15,-15,0.033,0.033,0,0.026,0.021,0.005,6.774,4.959,1.815
13,32,47,7.7,0,wattle,WNF,16,150,2400,148,2368,145.16,2322.56,0.396818008,1.31,0,1.31,-432.3117698,0,-432.3117698,11,48,-37,80,27,53,9,15,-6,0.028,0.031,-0.003,0.019,0.026,-0.007,13.654,14.03,-0.376
14,3,24,25.9,0,wattle,WNF,20,150,3000,148,2960,145.16,2903.2,0.132286582,1.22,0,1.22,-522.7484101,0,-522.7484101,39,95,-56,46,0,46,15,5,10,0.052,0.027,0.025,0.031,0.015,0.016,10.522,19.367,-8.845
